,lat,lon,value
0,35.9681,128.4651,0
1,35.9681,128.4751,0
2,35.9681,128.4851,0
3,35.9681,128.4951,0
4,35.9681,128.5051,0
5,35.9681,128.5151,0
6,35.9681,128.5251,0
7,35.9681,128.5351,0
8,35.9681,128.5451,0
9,35.9681,128.5551,12256
10,35.9681,128.5651,0
11,35.9681,128.5751,0
12,35.9681,128.5851,0
13,35.9681,128.5951,0
14,35.9681,128.6051,0
15,35.9681,128.6151,0
16,35.9681,128.6251,0
17,35.9681,128.6351,0
18,35.9681,128.6451,0
19,35.9681,128.6551,0
20,35.9681,128.6651,0
21,35.9681,128.6751,0
22,35.9681,128.6851,0
23,35.9681,128.6951,0
24,35.9681,128.7051,0
25,35.9681,128.7151,0
26,35.9681,128.7251,0
27,35.9681,128.7351,0
28,35.9681,128.7451,0
29,35.9681,128.7551,0
30,35.9581,128.4651,0
31,35.9581,128.4751,0
32,35.9581,128.4851,0
33,35.9581,128.4951,0
34,35.9581,128.5051,0
35,35.9581,128.5151,0
36,35.9581,128.5251,0
37,35.9581,128.5351,0
38,35.9581,128.5451,0
39,35.9581,128.5551,2863
40,35.9581,128.5651,0
41,35.9581,128.5751,0
42,35.9581,128.5851,0
43,35.9581,128.5951,0
44,35.9581,128.6051,0
45,35.9581,128.6151,0
46,35.9581,128.6251,0
47,35.9581,128.6351,0
48,35.9581,128.6451,0
49,35.9581,128.6551,0
50,35.9581,128.6651,0
51,35.9581,128.6751,0
52,35.9581,128.6851,0
53,35.9581,128.6951,0
54,35.9581,128.7051,0
55,35.9581,128.7151,0
56,35.9581,128.7251,0
57,35.9581,128.7351,0
58,35.9581,128.7451,0
59,35.9581,128.7551,0
60,35.9481,128.4651,0
61,35.9481,128.4751,0
62,35.9481,128.4851,0
63,35.9481,128.4951,0
64,35.9481,128.5051,0
65,35.9481,128.5151,0
66,35.9481,128.5251,0
67,35.9481,128.5351,0
68,35.9481,128.5451,0
69,35.9481,128.5551,87188
70,35.9481,128.5651,0
71,35.9481,128.5751,0
72,35.9481,128.5851,0
73,35.9481,128.5951,0
74,35.9481,128.6051,0
75,35.9481,128.6151,0
76,35.9481,128.6251,0
77,35.9481,128.6351,0
78,35.9481,128.6451,0
79,35.9481,128.6551,0
80,35.9481,128.6651,0
81,35.9481,128.6751,0
82,35.9481,128.6851,0
83,35.9481,128.6951,0
84,35.9481,128.7051,0
85,35.9481,128.7151,0
86,35.9481,128.7251,0
87,35.9481,128.7351,0
88,35.9481,128.7451,0
89,35.9481,128.7551,0
90,35.9381,128.4651,0
91,35.9381,128.4751,0
92,35.9381,128.4851,0
93,35.9381,128.4951,0
94,35.9381,128.5051,0
95,35.9381,128.5151,0
96,35.9381,128.5251,0
97,35.9381,128.5351,0
98,35.9381,128.5451,38514
99,35.9381,128.5551,0
100,35.9381,128.5651,0
101,35.9381,128.5751,0
102,35.9381,128.5851,0
103,35.9381,128.5951,0
104,35.9381,128.6051,0
105,35.9381,128.6151,0
106,35.9381,128.6251,0
107,35.9381,128.6351,0
108,35.9381,128.6451,0
109,35.9381,128.6551,0
110,35.9381,128.6651,0
111,35.9381,128.6751,0
112,35.9381,128.6851,0
113,35.9381,128.6951,0
114,35.9381,128.7051,0
115,35.9381,128.7151,0
116,35.9381,128.7251,0
117,35.9381,128.7351,0
118,35.9381,128.7451,0
119,35.9381,128.7551,0
120,35.9281,128.4651,0
121,35.9281,128.4751,0
122,35.9281,128.4851,0
123,35.9281,128.4951,0
124,35.9281,128.5051,0
125,35.9281,128.5151,0
126,35.9281,128.5251,0
127,35.9281,128.5351,0
128,35.9281,128.5451,58331
129,35.9281,128.5551,0
130,35.9281,128.5651,0
131,35.9281,128.5751,0
132,35.9281,128.5851,0
133,35.9281,128.5951,0
134,35.9281,128.6051,0
135,35.9281,128.6151,0
136,35.9281,128.6251,0
137,35.9281,128.6351,0
138,35.9281,128.6451,0
139,35.9281,128.6551,0
140,35.9281,128.6651,0
141,35.9281,128.6751,0
142,35.9281,128.6851,0
143,35.9281,128.6951,0
144,35.9281,128.7051,0
145,35.9281,128.7151,0
146,35.9281,128.7251,0
147,35.9281,128.7351,0
148,35.9281,128.7451,0
149,35.9281,128.7551,0
150,35.9181,128.4651,0
151,35.9181,128.4751,0
152,35.9181,128.4851,0
153,35.9181,128.4951,0
154,35.9181,128.5051,0
155,35.9181,128.5151,0
156,35.9181,128.5251,0
157,35.9181,128.5351,0
158,35.9181,128.5451,0
159,35.9181,128.5551,0
160,35.9181,128.5651,0
161,35.9181,128.5751,0
162,35.9181,128.5851,0
163,35.9181,128.5951,0
164,35.9181,128.6051,0
165,35.9181,128.6151,0
166,35.9181,128.6251,0
167,35.9181,128.6351,0
168,35.9181,128.6451,0
169,35.9181,128.6551,0
170,35.9181,128.6651,0
171,35.9181,128.6751,0
172,35.9181,128.6851,0
173,35.9181,128.6951,0
174,35.9181,128.7051,0
175,35.9181,128.7151,0
176,35.9181,128.7251,0
177,35.9181,128.7351,0
178,35.9181,128.7451,0
179,35.9181,128.7551,0
180,35.9081,128.4651,0
181,35.9081,128.4751,0
182,35.9081,128.4851,0
183,35.9081,128.4951,0
184,35.9081,128.5051,0
185,35.9081,128.5151,0
186,35.9081,128.5251,0
187,35.9081,128.5351,0
188,35.9081,128.5451,9131
189,35.9081,128.5551,0
190,35.9081,128.5651,0
191,35.9081,128.5751,0
192,35.9081,128.5851,0
193,35.9081,128.5951,0
194,35.9081,128.6051,0
195,35.9081,128.6151,0
196,35.9081,128.6251,0
197,35.9081,128.6351,0
198,35.9081,128.6451,0
199,35.9081,128.6551,0
200,35.9081,128.6651,0
201,35.9081,128.6751,0
202,35.9081,128.6851,0
203,35.9081,128.6951,0
204,35.9081,128.7051,0
205,35.9081,128.7151,0
206,35.9081,128.7251,0
207,35.9081,128.7351,0
208,35.9081,128.7451,0
209,35.9081,128.7551,0
210,35.8981,128.4651,0
211,35.8981,128.4751,0
212,35.8981,128.4851,0
213,35.8981,128.4951,0
214,35.8981,128.5051,0
215,35.8981,128.5151,0
216,35.8981,128.5251,0
217,35.8981,128.5351,0
218,35.8981,128.5451,25858
219,35.8981,128.5551,39296
220,35.8981,128.5651,23969
221,35.8981,128.5751,0
222,35.8981,128.5851,0
223,35.8981,128.5951,0
224,35.8981,128.6051,0
225,35.8981,128.6151,0
226,35.8981,128.6251,0
227,35.8981,128.6351,0
228,35.8981,128.6451,0
229,35.8981,128.6551,0
230,35.8981,128.6651,0
231,35.8981,128.6751,0
232,35.8981,128.6851,0
233,35.8981,128.6951,0
234,35.8981,128.7051,0
235,35.8981,128.7151,0
236,35.8981,128.7251,0
237,35.8981,128.7351,0
238,35.8981,128.7451,0
239,35.8981,128.7551,0
240,35.8881,128.4651,0
241,35.8881,128.4751,0
242,35.8881,128.4851,0
243,35.8881,128.4951,0
244,35.8881,128.5051,0
245,35.8881,128.5151,0
246,35.8881,128.5251,0
247,35.8881,128.5351,0
248,35.8881,128.5451,0
249,35.8881,128.5551,0
250,35.8881,128.5651,20976
251,35.8881,128.5751,55789
252,35.8881,128.5851,0
253,35.8881,128.5951,0
254,35.8881,128.6051,0
255,35.8881,128.6151,0
256,35.8881,128.6251,560264
257,35.8881,128.6351,69463
258,35.8881,128.6451,49265
259,35.8881,128.6551,28396
260,35.8881,128.6651,34364
261,35.8881,128.6751,0
262,35.8881,128.6851,0
263,35.8881,128.6951,0
264,35.8881,128.7051,0
265,35.8881,128.7151,0
266,35.8881,128.7251,0
267,35.8881,128.7351,0
268,35.8881,128.7451,0
269,35.8881,128.7551,0
270,35.8781,128.4651,0
271,35.8781,128.4751,0
272,35.8781,128.4851,0
273,35.8781,128.4951,0
274,35.8781,128.5051,0
275,35.8781,128.5151,0
276,35.8781,128.5251,0
277,35.8781,128.5351,0
278,35.8781,128.5451,0
279,35.8781,128.5551,0
280,35.8781,128.5651,0
281,35.8781,128.5751,93939
282,35.8781,128.5851,640274
283,35.8781,128.5951,0
284,35.8781,128.6051,46023
285,35.8781,128.6151,62839
286,35.8781,128.6251,0
287,35.8781,128.6351,0
288,35.8781,128.6451,0
289,35.8781,128.6551,0
290,35.8781,128.6651,0
291,35.8781,128.6751,24344
292,35.8781,128.6851,69422
293,35.8781,128.6951,0
294,35.8781,128.7051,0
295,35.8781,128.7151,0
296,35.8781,128.7251,66850
297,35.8781,128.7351,0
298,35.8781,128.7451,0
299,35.8781,128.7551,0
300,35.8681,128.4651,0
301,35.8681,128.4751,0
302,35.8681,128.4851,0
303,35.8681,128.4951,0
304,35.8681,128.5051,0
305,35.8681,128.5151,0
306,35.8681,128.5251,0
307,35.8681,128.5351,0
308,35.8681,128.5451,0
309,35.8681,128.5551,59343
310,35.8681,128.5651,49615
311,35.8681,128.5751,82606
312,35.8681,128.5851,1189008
313,35.8681,128.5951,119531
314,35.8681,128.6051,86420
315,35.8681,128.6151,0
316,35.8681,128.6251,241861
317,35.8681,128.6351,65770
318,35.8681,128.6451,0
319,35.8681,128.6551,0
320,35.8681,128.6651,0
321,35.8681,128.6751,0
322,35.8681,128.6851,0
323,35.8681,128.6951,41217
324,35.8681,128.7051,35719
325,35.8681,128.7151,55521
326,35.8681,128.7251,0
327,35.8681,128.7351,0
328,35.8681,128.7451,0
329,35.8681,128.7551,0
330,35.8581,128.4651,0
331,35.8581,128.4751,62068
332,35.8581,128.4851,153252
333,35.8581,128.4951,0
334,35.8581,128.5051,99824
335,35.8581,128.5151,43660
336,35.8581,128.5251,111067
337,35.8581,128.5351,81689
338,35.8581,128.5451,93331
339,35.8581,128.5551,379100
340,35.8581,128.5651,0
341,35.8581,128.5751,49409
342,35.8581,128.5851,208652
343,35.8581,128.5951,18603
344,35.8581,128.6051,75674
345,35.8581,128.6151,65278
346,35.8581,128.6251,0
347,35.8581,128.6351,0
348,35.8581,128.6451,40220
349,35.8581,128.6551,0
350,35.8581,128.6651,0
351,35.8581,128.6751,0
352,35.8581,128.6851,0
353,35.8581,128.6951,0
354,35.8581,128.7051,0
355,35.8581,128.7151,0
356,35.8581,128.7251,0
357,35.8581,128.7351,0
358,35.8581,128.7451,0
359,35.8581,128.7551,0
360,35.8481,128.4651,0
361,35.8481,128.4751,0
362,35.8481,128.4851,0
363,35.8481,128.4951,0
364,35.8481,128.5051,0
365,35.8481,128.5151,0
366,35.8481,128.5251,0
367,35.8481,128.5351,0
368,35.8481,128.5451,0
369,35.8481,128.5551,0
370,35.8481,128.5651,187552
371,35.8481,128.5751,57163
372,35.8481,128.5851,93663
373,35.8481,128.5951,0
374,35.8481,128.6051,0
375,35.8481,128.6151,17485
376,35.8481,128.6251,42969
377,35.8481,128.6351,0
378,35.8481,128.6451,0
379,35.8481,128.6551,0
380,35.8481,128.6651,7095
381,35.8481,128.6751,34395
382,35.8481,128.6851,0
383,35.8481,128.6951,87866
384,35.8481,128.7051,0
385,35.8481,128.7151,0
386,35.8481,128.7251,0
387,35.8481,128.7351,0
388,35.8481,128.7451,0
389,35.8481,128.7551,0
390,35.8381,128.4651,0
391,35.8381,128.4751,0
392,35.8381,128.4851,0
393,35.8381,128.4951,0
394,35.8381,128.5051,0
395,35.8381,128.5151,0
396,35.8381,128.5251,0
397,35.8381,128.5351,0
398,35.8381,128.5451,46133
399,35.8381,128.5551,134844
400,35.8381,128.5651,0
401,35.8381,128.5751,0
402,35.8381,128.5851,0
403,35.8381,128.5951,0
404,35.8381,128.6051,0
405,35.8381,128.6151,48808
406,35.8381,128.6251,0
407,35.8381,128.6351,0
408,35.8381,128.6451,0
409,35.8381,128.6551,0
410,35.8381,128.6651,0
411,35.8381,128.6751,0
412,35.8381,128.6851,0
413,35.8381,128.6951,0
414,35.8381,128.7051,0
415,35.8381,128.7151,40915
416,35.8381,128.7251,44890
417,35.8381,128.7351,31993
418,35.8381,128.7451,192072
419,35.8381,128.7551,0
420,35.8281,128.4651,0
421,35.8281,128.4751,0
422,35.8281,128.4851,0
423,35.8281,128.4951,0
424,35.8281,128.5051,0
425,35.8281,128.5151,0
426,35.8281,128.5251,0
427,35.8281,128.5351,208943
